status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,default,amount_per_month,age_group,duration_group,amount_group
0 <= ... < 200 DM,6,existing credits paid back duly till now,domestic appliances,368,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,38,none,own,1,skilled employee/official,1,no,yes,0,61.333333333333336,36-50,short_term,smallmedium
... < 100 DM,12,critical account/other credits existing,car (new),2122,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,39,none,rent,2,unskilled - resident,2,no,no,0,176.83333333333334,36-50,short_term,large
... < 100 DM,24,existing credits paid back duly till now,radio/television,2996,unknown/no savings account,1 <= ... < 4 years,2,male : married/widowed,none,4,car or other,20,none,own,1,skilled employee/official,1,no,yes,1,124.83333333333333,under_25,medium_term,large
0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,9034,100 <= ... < 500 DM,... < 1 year,4,male : single,co-applicant,1,unknown/no property,29,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,250.94444444444446,25-35,long_term,very_large
no checking account,24,critical account/other credits existing,radio/television,1585,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/life insurance,40,none,own,2,skilled employee/official,1,no,yes,0,66.04166666666667,36-50,medium_term,smallmedium
0 <= ... < 200 DM,18,existing credits paid back duly till now,domestic appliances,1301,... < 100 DM,... >= 7 years,4,male : married/widowed,guarantor,2,real estate,32,none,own,1,unskilled - resident,1,no,yes,0,72.27777777777777,25-35,medium_term,smallmedium
... >= 200 DM / salary for at least 1 year,6,critical account/other credits existing,car (new),1323,100 <= ... < 500 DM,... >= 7 years,2,male : divorced/separated,none,4,car or other,28,none,own,2,skilled employee/official,2,yes,yes,0,220.5,25-35,short_term,smallmedium
... < 100 DM,24,existing credits paid back duly till now,car (new),3123,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,27,none,own,1,skilled employee/official,1,no,yes,1,130.125,25-35,medium_term,large
... < 100 DM,36,existing credits paid back duly till now,car (used),5493,... < 100 DM,... >= 7 years,2,male : single,none,4,unknown/no property,42,none,for free,1,skilled employee/official,2,no,yes,0,152.58333333333334,36-50,long_term,very_large
... >= 200 DM / salary for at least 1 year,9,existing credits paid back duly till now,domestic appliances,1126,100 <= ... < 500 DM,... >= 7 years,2,male : divorced/separated,none,4,real estate,49,none,own,1,skilled employee/official,1,no,yes,0,125.11111111111111,36-50,short_term,smallmedium
0 <= ... < 200 DM,24,critical account/other credits existing,domestic appliances,1216,100 <= ... < 500 DM,... < 1 year,4,male : single,none,4,unknown/no property,38,bank,own,2,skilled employee/official,2,no,yes,1,50.666666666666664,36-50,medium_term,smallmedium
... < 100 DM,24,existing credits paid back duly till now,car (new),1207,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,skilled employee/official,1,no,yes,1,50.291666666666664,under_25,medium_term,smallmedium
no checking account,10,existing credits paid back duly till now,car (new),1309,unknown/no savings account,1 <= ... < 4 years,4,male : single,guarantor,4,building society savings agreement/life insurance,27,none,own,1,unskilled - resident,1,no,yes,1,130.9,25-35,short_term,smallmedium
... >= 200 DM / salary for at least 1 year,15,critical account/other credits existing,car (used),2360,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,36,none,own,1,skilled employee/official,1,yes,yes,0,157.33333333333334,36-50,medium_term,large
0 <= ... < 200 DM,15,all credits at this bank paid back duly,car (new),6850,100 <= ... < 500 DM,unemployed,1,male : single,none,2,building society savings agreement/life insurance,34,none,own,1,management/self-employed/highly qualified employee/officer,2,yes,yes,1,456.6666666666667,25-35,medium_term,very_large
no checking account,24,existing credits paid back duly till now,domestic appliances,1413,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,building society savings agreement/life insurance,28,none,own,1,skilled employee/official,1,no,yes,0,58.875,25-35,medium_term,smallmedium
no checking account,39,existing credits paid back duly till now,car (used),8588,100 <= ... < 500 DM,... >= 7 years,4,male : single,none,2,car or other,45,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,220.2051282051282,36-50,very_long_term,very_large
... < 100 DM,12,existing credits paid back duly till now,car (new),759,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,real estate,26,none,own,1,skilled employee/official,1,no,yes,1,63.25,25-35,short_term,smallmedium
no checking account,36,existing credits paid back duly till now,car (used),4686,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,unknown/no property,32,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,130.16666666666666,25-35,long_term,large
... >= 200 DM / salary for at least 1 year,15,existing credits paid back duly till now,others,2687,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,building society savings agreement/life insurance,26,none,rent,1,skilled employee/official,1,yes,yes,0,179.13333333333333,25-35,medium_term,large
0 <= ... < 200 DM,12,delay in paying off in the past,domestic appliances,585,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,co-applicant,4,real estate,20,none,rent,2,skilled employee/official,1,no,yes,0,48.75,under_25,short_term,smallmedium
no checking account,24,existing credits paid back duly till now,car (new),2255,unknown/no savings account,... < 1 year,4,male : single,none,1,building society savings agreement/life insurance,54,none,own,1,skilled employee/official,1,no,yes,0,93.95833333333333,over_50,medium_term,large
... < 100 DM,6,critical account/other credits existing,car (new),609,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,37,none,own,2,skilled employee/official,1,no,no,0,101.5,36-50,short_term,smallmedium
... < 100 DM,6,critical account/other credits existing,car (new),1361,... < 100 DM,... < 1 year,2,male : single,none,4,real estate,40,none,own,1,unskilled - resident,2,no,no,0,226.83333333333334,36-50,short_term,smallmedium
no checking account,36,critical account/other credits existing,radio/television,7127,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,building society savings agreement/life insurance,23,none,rent,2,skilled employee/official,1,yes,yes,1,197.97222222222223,under_25,long_term,very_large
... < 100 DM,6,existing credits paid back duly till now,car (new),1203,100 <= ... < 500 DM,... >= 7 years,3,male : single,none,2,building society savings agreement/life insurance,43,none,own,1,skilled employee/official,1,yes,yes,0,200.5,36-50,short_term,smallmedium
no checking account,6,critical account/other credits existing,domestic appliances,700,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,36,none,for free,2,skilled employee/official,1,no,yes,0,116.66666666666667,36-50,short_term,smallmedium
no checking account,24,critical account/other credits existing,education,5507,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,44,none,for free,2,skilled employee/official,1,no,yes,0,229.45833333333334,36-50,medium_term,very_large
... < 100 DM,18,existing credits paid back duly till now,domestic appliances,3190,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee/official,1,no,yes,1,177.22222222222223,under_25,medium_term,large
... < 100 DM,48,no credits taken/all credits paid back duly,radio/television,7119,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,unknown/no property,53,none,for free,2,skilled employee/official,2,no,yes,1,148.3125,over_50,very_long_term,very_large
no checking account,24,existing credits paid back duly till now,car (used),3488,100 <= ... < 500 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,car or other,23,none,own,1,skilled employee/official,1,no,yes,0,145.33333333333334,under_25,medium_term,large
0 <= ... < 200 DM,18,existing credits paid back duly till now,domestic appliances,1113,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled - resident,2,no,yes,0,61.833333333333336,25-35,medium_term,smallmedium
0 <= ... < 200 DM,26,existing credits paid back duly till now,car (used),7966,... < 100 DM,... < 1 year,2,male : single,none,3,car or other,30,none,own,2,skilled employee/official,1,no,yes,0,306.38461538461536,25-35,long_term,very_large
no checking account,15,critical account/other credits existing,retraining,1532,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,car or other,31,none,own,1,skilled employee/official,1,no,yes,0,102.13333333333334,25-35,medium_term,smallmedium
no checking account,4,critical account/other credits existing,domestic appliances,1503,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,real estate,42,none,own,2,unskilled - resident,2,no,yes,0,375.75,36-50,short_term,smallmedium
... < 100 DM,36,existing credits paid back duly till now,domestic appliances,2302,... < 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,4,car or other,31,none,rent,1,skilled employee/official,1,no,yes,1,63.94444444444444,25-35,long_term,large
... < 100 DM,6,existing credits paid back duly till now,car (new),662,... < 100 DM,... < 1 year,3,male : single,none,4,real estate,41,none,own,1,unskilled - resident,2,yes,yes,0,110.33333333333333,36-50,short_term,smallmedium
0 <= ... < 200 DM,36,existing credits paid back duly till now,retraining,2273,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,car or other,32,none,own,2,skilled employee/official,2,no,yes,0,63.138888888888886,25-35,long_term,large
0 <= ... < 200 DM,15,existing credits paid back duly till now,car (new),2631,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,28,none,rent,2,skilled employee/official,1,yes,yes,1,175.4,25-35,medium_term,large
no checking account,12,delay in paying off in the past,car (used),1503,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,41,none,rent,1,skilled employee/official,1,no,yes,0,125.25,36-50,short_term,smallmedium
no checking account,24,existing credits paid back duly till now,domestic appliances,1311,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : married/widowed,none,3,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,yes,yes,0,54.625,25-35,medium_term,smallmedium
no checking account,24,existing credits paid back duly till now,domestic appliances,3105,unknown/no savings account,... < 1 year,4,male : single,none,2,car or other,25,none,own,2,skilled employee/official,1,no,yes,0,129.375,under_25,medium_term,large
... >= 200 DM / salary for at least 1 year,21,critical account/other credits existing,retraining,2319,... < 100 DM,... < 1 year,2,male : divorced/separated,none,1,car or other,33,none,rent,1,skilled employee/official,1,no,yes,1,110.42857142857143,25-35,medium_term,large
... < 100 DM,6,existing credits paid back duly till now,car (new),1374,unknown/no savings account,unemployed,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,75,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,229.0,over_50,short_term,smallmedium
0 <= ... < 200 DM,18,critical account/other credits existing,radio/television,3612,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,37,none,own,1,skilled employee/official,1,yes,yes,0,200.66666666666666,36-50,medium_term,large
... < 100 DM,48,existing credits paid back duly till now,car (new),7763,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,42,bank,for free,1,management/self-employed/highly qualified employee/officer,1,no,yes,1,161.72916666666666,36-50,very_long_term,very_large
... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,radio/television,3049,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,1,building society savings agreement/life insurance,45,stores,own,1,unskilled - resident,1,no,yes,0,169.38888888888889,36-50,medium_term,large
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1534,... < 100 DM,... < 1 year,1,male : married/widowed,none,1,real estate,23,none,rent,1,skilled employee/official,1,no,yes,1,127.83333333333333,under_25,short_term,smallmedium
no checking account,24,delay in paying off in the past,car (new),2032,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,60,none,for free,2,skilled employee/official,1,yes,yes,0,84.66666666666667,over_50,medium_term,large
... < 100 DM,30,existing credits paid back duly till now,radio/television,6350,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,31,none,own,1,skilled employee/official,1,no,yes,1,211.66666666666666,25-35,long_term,very_large
... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,radio/television,2864,... < 100 DM,1 <= ... < 4 years,2,male : single,none,1,real estate,34,none,own,1,unskilled - resident,2,no,yes,1,159.11111111111111,25-35,medium_term,large
no checking account,12,critical account/other credits existing,car (new),1255,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,61,none,own,2,unskilled - resident,1,no,yes,0,104.58333333333333,over_50,short_term,smallmedium
... < 100 DM,24,delay in paying off in the past,car (new),1333,... < 100 DM,unemployed,4,male : single,none,2,real estate,43,none,for free,2,skilled employee/official,2,no,yes,1,55.541666666666664,36-50,medium_term,smallmedium
no checking account,24,critical account/other credits existing,car (new),2022,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,37,none,own,1,skilled employee/official,1,yes,yes,0,84.25,36-50,medium_term,large
no checking account,24,existing credits paid back duly till now,domestic appliances,1552,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,car or other,32,bank,own,1,skilled employee/official,2,no,yes,0,64.66666666666667,25-35,medium_term,smallmedium
... < 100 DM,12,all credits at this bank paid back duly,domestic appliances,626,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled - resident,1,no,yes,1,52.166666666666664,under_25,short_term,smallmedium
no checking account,48,critical account/other credits existing,car (used),8858,unknown/no savings account,4 <= ... < 7 years,2,male : single,none,1,unknown/no property,35,none,for free,2,skilled employee/official,1,yes,yes,0,184.54166666666666,25-35,very_long_term,very_large
no checking account,12,critical account/other credits existing,education,996,unknown/no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee/official,1,no,yes,0,83.0,under_25,short_term,smallmedium
no checking account,6,all credits at this bank paid back duly,domestic appliances,1750,500 <= ... < 1000 DM,... >= 7 years,2,male : single,none,4,building society savings agreement/life insurance,45,bank,own,1,unskilled - resident,2,no,yes,0,291.6666666666667,36-50,short_term,smallmedium
... < 100 DM,48,existing credits paid back duly till now,domestic appliances,6999,... < 100 DM,4 <= ... < 7 years,1,male : married/widowed,guarantor,1,real estate,34,none,own,2,skilled employee/official,1,yes,yes,1,145.8125,25-35,very_long_term,very_large
0 <= ... < 200 DM,12,critical account/other credits existing,car (new),1995,100 <= ... < 500 DM,... < 1 year,4,male : single,none,1,car or other,27,none,own,1,skilled employee/official,1,no,yes,0,166.25,25-35,short_term,smallmedium
0 <= ... < 200 DM,9,existing credits paid back duly till now,retraining,1199,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,67,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0,133.22222222222223,over_50,short_term,smallmedium
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1331,... < 100 DM,... < 1 year,2,male : single,none,1,car or other,22,stores,own,1,skilled employee/official,1,no,yes,1,110.91666666666667,under_25,short_term,smallmedium
0 <= ... < 200 DM,18,no credits taken/all credits paid back duly,car (new),2278,100 <= ... < 500 DM,... < 1 year,3,female : divorced/separated/married,none,3,car or other,28,none,own,2,skilled employee/official,1,no,yes,1,126.55555555555556,25-35,medium_term,large
no checking account,21,no credits taken/all credits paid back duly,car (new),5003,unknown/no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,29,bank,own,2,skilled employee/official,1,yes,yes,1,238.23809523809524,25-35,medium_term,very_large
... < 100 DM,24,all credits at this bank paid back duly,radio/television,3552,... < 100 DM,4 <= ... < 7 years,3,male : single,none,4,car or other,27,bank,own,1,skilled employee/official,1,no,yes,1,148.0,25-35,medium_term,large
0 <= ... < 200 DM,18,critical account/other credits existing,radio/television,1928,... < 100 DM,... < 1 year,2,male : single,none,2,real estate,31,none,own,2,unskilled - resident,1,no,yes,1,107.11111111111111,25-35,medium_term,smallmedium
... < 100 DM,24,existing credits paid back duly till now,car (used),2964,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,49,bank,for free,1,skilled employee/official,2,yes,yes,0,123.5,36-50,medium_term,large
... < 100 DM,24,all credits at this bank paid back duly,domestic appliances,1546,... < 100 DM,4 <= ... < 7 years,4,male : single,guarantor,4,car or other,24,bank,rent,1,unskilled - resident,1,no,yes,1,64.41666666666667,under_25,medium_term,smallmedium
... >= 200 DM / salary for at least 1 year,6,delay in paying off in the past,domestic appliances,683,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,1,building society savings agreement/life insurance,29,bank,own,1,skilled employee/official,1,no,yes,0,113.83333333333333,25-35,short_term,smallmedium
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (new),12389,unknown/no savings account,1 <= ... < 4 years,1,male : single,none,4,unknown/no property,37,none,for free,1,skilled employee/official,1,yes,yes,1,344.1388888888889,36-50,long_term,too_much
0 <= ... < 200 DM,24,delay in paying off in the past,others,4712,unknown/no savings account,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/life insurance,37,bank,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0,196.33333333333334,36-50,medium_term,large
0 <= ... < 200 DM,24,delay in paying off in the past,domestic appliances,1553,100 <= ... < 500 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,rent,2,skilled employee/official,1,yes,yes,0,64.70833333333333,under_25,medium_term,smallmedium
... < 100 DM,12,existing credits paid back duly till now,car (new),1372,... < 100 DM,4 <= ... < 7 years,2,male : divorced/separated,none,3,car or other,36,none,own,1,skilled employee/official,1,no,yes,1,114.33333333333333,36-50,short_term,smallmedium
no checking account,24,critical account/other credits existing,domestic appliances,2578,... >= 1000 DM,... >= 7 years,2,male : single,none,2,car or other,34,none,own,1,skilled employee/official,1,no,yes,0,107.41666666666667,25-35,medium_term,large
0 <= ... < 200 DM,48,existing credits paid back duly till now,domestic appliances,3979,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,1,car or other,41,none,own,2,skilled employee/official,2,yes,yes,0,82.89583333333333,36-50,very_long_term,large
... < 100 DM,48,existing credits paid back duly till now,domestic appliances,6758,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,car or other,31,none,own,1,skilled employee/official,1,yes,yes,1,140.79166666666666,25-35,very_long_term,very_large
... < 100 DM,24,existing credits paid back duly till now,radio/television,3234,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1,yes,yes,1,134.75,under_25,medium_term,large
no checking account,30,critical account/other credits existing,domestic appliances,5954,... < 100 DM,4 <= ... < 7 years,3,male : single,co-applicant,2,car or other,38,none,own,1,skilled employee/official,1,no,yes,0,198.46666666666667,36-50,long_term,very_large
no checking account,24,existing credits paid back duly till now,car (used),5433,unknown/no savings account,unemployed,2,female : divorced/separated/married,none,4,building society savings agreement/life insurance,26,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,226.375,25-35,medium_term,very_large
... < 100 DM,15,existing credits paid back duly till now,others,806,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,22,none,own,1,unskilled - resident,1,no,yes,0,53.733333333333334,under_25,medium_term,smallmedium
0 <= ... < 200 DM,9,existing credits paid back duly till now,domestic appliances,1082,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,27,none,own,2,unskilled - resident,1,no,yes,0,120.22222222222223,25-35,short_term,smallmedium
no checking account,15,critical account/other credits existing,radio/television,2788,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,co-applicant,3,car or other,24,bank,own,2,skilled employee/official,1,no,yes,0,185.86666666666667,under_25,medium_term,large
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,2930,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee/official,1,no,yes,0,244.16666666666666,25-35,short_term,large
no checking account,24,critical account/other credits existing,retraining,1927,unknown/no savings account,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,car or other,33,none,own,2,skilled employee/official,1,yes,yes,0,80.29166666666667,25-35,medium_term,smallmedium
0 <= ... < 200 DM,36,critical account/other credits existing,car (new),2820,... < 100 DM,... < 1 year,4,male : divorced/separated,none,4,car or other,27,none,own,2,skilled employee/official,1,no,yes,1,78.33333333333333,25-35,long_term,large
no checking account,24,existing credits paid back duly till now,business,937,... < 100 DM,... < 1 year,4,male : married/widowed,none,3,car or other,27,none,own,2,unskilled - resident,1,no,yes,0,39.041666666666664,25-35,medium_term,smallmedium
0 <= ... < 200 DM,18,critical account/other credits existing,car (new),1056,... < 100 DM,... >= 7 years,3,male : single,guarantor,3,real estate,30,bank,own,2,skilled employee/official,1,no,yes,1,58.666666666666664,25-35,medium_term,smallmedium
0 <= ... < 200 DM,12,critical account/other credits existing,car (new),3124,... < 100 DM,... < 1 year,1,male : single,none,3,real estate,49,bank,own,2,unskilled - resident,2,no,yes,0,260.3333333333333,36-50,short_term,large
no checking account,9,existing credits paid back duly till now,radio/television,1388,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee/official,1,no,yes,0,154.22222222222223,25-35,short_term,smallmedium
0 <= ... < 200 DM,36,existing credits paid back duly till now,education,2384,... < 100 DM,... < 1 year,4,male : single,none,1,unknown/no property,33,none,rent,1,unskilled - resident,1,no,yes,1,66.22222222222223,25-35,long_term,large
no checking account,12,existing credits paid back duly till now,car (new),2133,unknown/no savings account,... >= 7 years,4,female : divorced/separated/married,none,4,unknown/no property,52,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,177.75,over_50,short_term,large
... < 100 DM,18,existing credits paid back duly till now,radio/television,2039,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled employee/official,1,no,yes,1,113.27777777777777,under_25,medium_term,large
... < 100 DM,9,critical account/other credits existing,car (new),2799,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,36,none,rent,2,skilled employee/official,2,no,yes,0,311.0,36-50,short_term,large
... < 100 DM,12,existing credits paid back duly till now,radio/television,1289,... < 100 DM,1 <= ... < 4 years,4,male : single,guarantor,1,building society savings agreement/life insurance,21,none,own,1,unskilled - resident,1,no,yes,0,107.41666666666667,under_25,short_term,smallmedium
... < 100 DM,18,existing credits paid back duly till now,repairs,1217,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,47,none,own,1,unskilled - resident,1,yes,yes,1,67.61111111111111,36-50,medium_term,smallmedium
... < 100 DM,12,critical account/other credits existing,radio/television,2246,... < 100 DM,... >= 7 years,3,male : single,none,3,building society savings agreement/life insurance,60,none,own,2,skilled employee/official,1,no,yes,1,187.16666666666666,over_50,short_term,large
... < 100 DM,12,critical account/other credits existing,domestic appliances,385,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,real estate,58,none,own,4,unskilled - resident,1,yes,yes,0,32.083333333333336,over_50,short_term,smallmedium
0 <= ... < 200 DM,24,delay in paying off in the past,car (new),1965,unknown/no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,42,none,rent,2,skilled employee/official,1,yes,yes,0,81.875,36-50,medium_term,smallmedium
no checking account,21,existing credits paid back duly till now,others,1572,... >= 1000 DM,... >= 7 years,4,female : divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled - resident,1,no,yes,0,74.85714285714286,36-50,medium_term,smallmedium
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),2718,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,20,none,rent,1,unskilled - resident,1,yes,yes,1,113.25,under_25,medium_term,large
... < 100 DM,24,all credits at this bank paid back duly,furniture/equipment,1358,unknown/no savings account,... >= 7 years,4,male : single,none,3,car or other,40,stores,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,56.583333333333336,36-50,medium_term,smallmedium
0 <= ... < 200 DM,6,all credits at this bank paid back duly,car (new),931,100 <= ... < 500 DM,... < 1 year,1,female : divorced/separated/married,none,1,building society savings agreement/life insurance,32,stores,own,1,unskilled - resident,1,no,yes,1,155.16666666666666,25-35,short_term,smallmedium
... < 100 DM,24,existing credits paid back duly till now,car (new),1442,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,car or other,23,none,rent,2,skilled employee/official,1,no,yes,1,60.083333333333336,under_25,medium_term,smallmedium
0 <= ... < 200 DM,24,no credits taken/all credits paid back duly,others,4241,... < 100 DM,1 <= ... < 4 years,1,male : single,none,4,real estate,36,none,own,3,unskilled - resident,1,yes,yes,1,176.70833333333334,36-50,medium_term,large
no checking account,18,critical account/other credits existing,car (new),2775,... < 100 DM,4 <= ... < 7 years,2,male : single,none,2,building society savings agreement/life insurance,31,bank,own,2,skilled employee/official,1,no,yes,1,154.16666666666666,25-35,medium_term,large
no checking account,24,delay in paying off in the past,others,3863,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,unknown/no property,32,none,for free,1,skilled employee/official,1,no,yes,0,160.95833333333334,25-35,medium_term,large
0 <= ... < 200 DM,7,existing credits paid back duly till now,domestic appliances,2329,... < 100 DM,... < 1 year,1,female : divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee/official,1,no,yes,0,332.7142857142857,36-50,short_term,large
0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,918,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,30,none,own,1,skilled employee/official,1,no,yes,1,102.0,25-35,short_term,smallmedium
0 <= ... < 200 DM,24,all credits at this bank paid back duly,retraining,1837,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,unknown/no property,34,bank,for free,1,unskilled - resident,1,no,yes,1,76.54166666666667,25-35,medium_term,smallmedium
no checking account,36,existing credits paid back duly till now,radio/television,3349,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,28,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,93.02777777777777,25-35,long_term,large
... >= 200 DM / salary for at least 1 year,10,existing credits paid back duly till now,radio/television,1275,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,own,1,skilled employee/official,1,no,yes,0,127.5,under_25,short_term,smallmedium
... < 100 DM,24,all credits at this bank paid back duly,radio/television,2828,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,22,stores,own,1,skilled employee/official,1,yes,yes,0,117.83333333333333,under_25,medium_term,large
no checking account,24,critical account/other credits existing,others,4526,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,74,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,188.58333333333334,over_50,medium_term,large
0 <= ... < 200 DM,36,existing credits paid back duly till now,domestic appliances,2671,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,co-applicant,4,unknown/no property,50,none,for free,1,skilled employee/official,1,no,yes,1,74.19444444444444,36-50,long_term,large
no checking account,18,existing credits paid back duly till now,domestic appliances,2051,... < 100 DM,... < 1 year,4,male : single,none,1,real estate,33,none,own,1,skilled employee/official,1,no,yes,0,113.94444444444444,25-35,medium_term,large
no checking account,15,existing credits paid back duly till now,car (used),1300,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,45,bank,for free,1,skilled employee/official,2,no,yes,0,86.66666666666667,36-50,medium_term,smallmedium
... < 100 DM,12,existing credits paid back duly till now,repairs,741,100 <= ... < 500 DM,unemployed,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,22,none,own,1,skilled employee/official,1,no,yes,1,61.75,under_25,short_term,smallmedium
... >= 200 DM / salary for at least 1 year,10,existing credits paid back duly till now,car (new),1240,100 <= ... < 500 DM,... >= 7 years,1,female : divorced/separated/married,none,4,unknown/no property,48,none,for free,1,unskilled - resident,2,no,yes,1,124.0,36-50,short_term,smallmedium
